"Annual commercial landings and effort for Dive fisheries in the Pacific Region, by Pacific Fishery Management Area (PFMA) and Subarea.",,,,,,,,,
"All data available through 2025, by calendar year",,,,,,,,,
"Harvest log data from Dive Fisheries fisheries are made available as a whole season after the season ends; therefore, data from 2025-26 Season are not yet available.",,,,,,,,,
,Fishery,Last Date Available,,,,,,,
Red Urchin,6BC,1984,23,Total,1,5040,*,,
Red Urchin,6BC,1984,24,6,1,1320,*,,
Red Urchin,6BC,1984,24,8,2,3425,*,,
Red Urchin,6BC,1984,24,Total,3,4745,42885,,
Red Urchin,6BC,1984,26,1,1,1365,*,,
Red Urchin,6BC,1984,26,Total,1,1365,*,,
Red Urchin,6BC,1984,29,5,1,980,*,,
Red Urchin,6BC,1984,29,Total,1,980,*,,
Red Urchin,6BC,1985,12,1,1,3690,*,,
Red Urchin,6BC,1985,12,2,1,1635,*,,
Red Urchin,6BC,1985,12,5,1,0,*,,
Red Urchin,6BC,1985,12,18,5,12935,249536,,
Red Urchin,6BC,1985,12,25,1,660,*,,
Red Urchin,6BC,1985,12,Total,8,18920,319074,,
Red Urchin,6BC,1985,13,1,9,14276,308812,,
Red Urchin,6BC,1985,13,2,7,19465,336547,,
Red Urchin,6BC,1985,13,7,1,0,*,,
Red Urchin,6BC,1985,13,12,1,990,*,,
Red Urchin,6BC,1985,13,32,1,300,*,,
Red Urchin,6BC,1985,13,33,2,980,*,,
Red Urchin,6BC,1985,13,Total,15,36011,704026,,
Red Urchin,6BC,1985,14,0,1,2200,*,,
Red Urchin,6BC,1985,14,7,7,7180,125806,,
Red Urchin,6BC,1985,14,8,2,2015,*,,
Red Urchin,6BC,1985,14,9,7,12530,206647,,
Red Urchin,6BC,1985,14,12,6,15780,256194,,
Red Urchin,6BC,1985,14,Total,11,39705,641009,,
Red Urchin,6BC,1985,15,2,6,18290,**,,
Red Urchin,6BC,1985,15,4,2,810,*,,
Red Urchin,6BC,1985,15,Total,6,19100,346196,,
Red Urchin,6BC,1985,16,9,1,200,*,,
Red Urchin,6BC,1985,16,Total,1,200,*,,
Red Urchin,6BC,1985,17,2,2,2440,*,,
Red Urchin,6BC,1985,17,17,1,2000,*,,
Red Urchin,6BC,1985,17,Total,3,4440,36324,,
Red Urchin,6BC,1985,18,2,2,5030,*,,
Red Urchin,6BC,1985,18,3,1,420,*,,
Red Urchin,6BC,1985,18,4,1,400,*,,
Red Urchin,6BC,1985,18,6,2,2728,*,,
Red Urchin,6BC,1985,18,9,1,2280,*,,
Red Urchin,6BC,1985,18,Total,4,10858,88993,,
Red Urchin,6BC,1985,19,5,3,3390,27430,,
Red Urchin,6BC,1985,19,Total,3,3390,27430,,
Red Urchin,6BC,1985,20,5,3,2840,41442,,
Red Urchin,6BC,1985,20,Total,3,2840,41442,,
Red Urchin,6BC,1985,23,11,2,7130,*,,
Red Urchin,6BC,1985,23,Total,2,7130,*,,
Red Urchin,6BC,1985,24,6,2,2730,*,,
Red Urchin,6BC,1985,24,8,3,7580,**,,
Red Urchin,6BC,1985,24,Total,4,10310,92459,,
Red Urchin,6BC,1985,25,0,1,1200,*,,
Red Urchin,6BC,1985,25,6,5,4840,50026,,
Red Urchin,6BC,1985,25,7,2,900,*,,
Red Urchin,6BC,1985,25,13,4,7670,76090,,
Red Urchin,6BC,1985,25,Total,6,14610,143841,,
Red Urchin,6BC,1985,26,1,1,1200,*,,
Red Urchin,6BC,1985,26,Total,1,1200,*,,
Red Urchin,6BC,1985,27,9,3,4180,107162,,
Red Urchin,6BC,1985,27,Total,3,4180,107162,,
Red Urchin,6BC,1986,10,2,1,0,*,,
Red Urchin,6BC,1986,10,Total,1,0,*,,
Red Urchin,6BC,1986,11,2,2,800,*,,
Red Urchin,6BC,1986,11,Total,2,800,*,,
Red Urchin,6BC,1986,12,0,1,2200,*,,
Red Urchin,6BC,1986,12,5,6,6250,101885,,
Red Urchin,6BC,1986,12,6,5,5653,106968,,
Red Urchin,6BC,1986,12,8,3,4640,128100,,
Red Urchin,6BC,1986,12,11,8,22886,345746,,
Red Urchin,6BC,1986,12,12,2,1372,*,,
Red Urchin,6BC,1986,12,16,2,5940,*,,
Red Urchin,6BC,1986,12,17,2,1380,*,,
Red Urchin,6BC,1986,12,18,4,4660,79390,,
Red Urchin,6BC,1986,12,19,2,3500,*,,
Red Urchin,6BC,1986,12,25,1,0,*,,
Red Urchin,6BC,1986,12,Total,22,58481,1023884,,
Red Urchin,6BC,1986,13,1,13,18243,297379,,
Red Urchin,6BC,1986,13,2,7,14815,218370,,
Red Urchin,6BC,1986,13,12,1,900,*,,
Red Urchin,6BC,1986,13,15,1,0,*,,
Red Urchin,6BC,1986,13,28,2,930,*,,
Red Urchin,6BC,1986,13,33,1,0,*,,
Red Urchin,6BC,1986,13,Total,20,34888,636345,,
Red Urchin,6BC,1986,14,3,1,600,*,,
Red Urchin,6BC,1986,14,8,1,150,*,,
Red Urchin,6BC,1986,14,9,3,7050,108573,,
Red Urchin,6BC,1986,14,11,1,0,*,,
Red Urchin,6BC,1986,14,12,3,7160,178098,,
Red Urchin,6BC,1986,14,13,3,1850,43223,,
Red Urchin,6BC,1986,14,Total,9,16810,372937,,
Red Urchin,6BC,1986,15,1,2,4119,*,,
Red Urchin,6BC,1986,15,2,3,1440,32739,,
Red Urchin,6BC,1986,15,4,1,0,*,,
Red Urchin,6BC,1986,15,5,2,689,*,,
Red Urchin,6BC,1986,15,Total,7,6248,96930,,
Red Urchin,6BC,1986,16,22,1,1270,*,,
Red Urchin,6BC,1986,16,Total,1,1270,*,,
Red Urchin,6BC,1986,17,2,3,1190,15551,,
Red Urchin,6BC,1986,17,3,4,2545,56664,,
Red Urchin,6BC,1986,17,8,1,800,*,,
Red Urchin,6BC,1986,17,10,3,3200,55184,,
Red Urchin,6BC,1986,17,17,1,740,*,,
Red Urchin,6BC,1986,17,Total,10,8475,151954,,
Red Urchin,6BC,1986,18,2,2,2855,*,,
Red Urchin,6BC,1986,18,3,1,720,*,,
Red Urchin,6BC,1986,18,5,1,1200,*,,
Red Urchin,6BC,1986,18,6,1,300,*,,
Red Urchin,6BC,1986,18,7,2,25,*,,
Red Urchin,6BC,1986,18,9,2,1155,*,,
Red Urchin,6BC,1986,18,Total,7,6255,97951,,
Red Urchin,6BC,1986,19,5,5,6735,**,,
Red Urchin,6BC,1986,19,6,2,1690,*,,
Red Urchin,6BC,1986,19,Total,7,8425,134836,,
Red Urchin,6BC,1986,20,5,6,9465,89677,,
Red Urchin,6BC,1986,20,Total,6,9465,89677,,
Red Urchin,6BC,1986,23,5,1,3555,*,,
Red Urchin,6BC,1986,23,7,1,430,*,,
Red Urchin,6BC,1986,23,11,5,5160,41108,,
Red Urchin,6BC,1986,23,Total,6,9145,73693,,
Red Urchin,6BC,1986,24,6,7,11425,189874,,
Red Urchin,6BC,1986,24,7,3,465,5710,,
Red Urchin,6BC,1986,24,8,8,15725,310976,,
Red Urchin,6BC,1986,24,Total,10,27615,506560,,
Red Urchin,6BC,1986,26,0,1,450,*,,
Red Urchin,6BC,1986,26,Total,1,450,*,,
Red Urchin,6BC,1986,27,7,2,1260,*,,
Red Urchin,6BC,1986,27,9,7,13980,**,,
Red Urchin,6BC,1986,27,Total,7,15240,192956,,
Red Urchin,6BC,1986,29,5,2,255,*,,
Red Urchin,6BC,1986,29,Total,2,255,*,,
Red Urchin,6BC,1987,4,2,1,0,*,,
Red Urchin,6BC,1987,4,Total,1,0,*,,
Red Urchin,6BC,1987,7,8,1,970,*,,
Red Urchin,6BC,1987,7,17,2,6720,*,,
Red Urchin,6BC,1987,7,18,2,5000,*,,
Red Urchin,6BC,1987,7,25,2,2750,*,,
Red Urchin,6BC,1987,7,27,1,265,*,,
Red Urchin,6BC,1987,7,32,1,0,*,,
Red Urchin,6BC,1987,7,Total,7,15705,339866,,
Red Urchin,6BC,1987,8,2,6,7530,164228,,
Red Urchin,6BC,1987,8,Total,6,7530,164228,,
Red Urchin,6BC,1987,12,0,5,1570,53423,,
Red Urchin,6BC,1987,12,3,1,600,*,,
Red Urchin,6BC,1987,12,4,1,0,*,,
Red Urchin,6BC,1987,12,5,7,8249,71194,,
Red Urchin,6BC,1987,12,6,6,1620,61791,,
Red Urchin,6BC,1987,12,8,3,4530,65303,,
Red Urchin,6BC,1987,12,11,12,9213,113240,,
Red Urchin,6BC,1987,12,12,2,1600,*,,
Red Urchin,6BC,1987,12,13,1,0,*,,
Red Urchin,6BC,1987,12,16,3,920,20276,,
Red Urchin,6BC,1987,12,17,1,1680,*,,
Red Urchin,6BC,1987,12,18,3,1940,22082,,
Red Urchin,6BC,1987,12,19,2,4070,*,,
Red Urchin,6BC,1987,12,Total,26,35992,564660,,
Red Urchin,6BC,1987,13,0,1,1310,*,,
Red Urchin,6BC,1987,13,1,4,3000,61182,,
Red Urchin,6BC,1987,13,2,11,10728,300138,,
Red Urchin,6BC,1987,13,3,1,1130,*,,
Red Urchin,6BC,1987,13,12,1,2140,*,,
Red Urchin,6BC,1987,13,32,3,4731,134096,,
Red Urchin,6BC,1987,13,33,2,3075,*,,
Red Urchin,6BC,1987,13,35,1,1093,*,,
Red Urchin,6BC,1987,13,Total,17,27207,636960,,
Red Urchin,6BC,1987,14,8,5,3740,34625,,
Red Urchin,6BC,1987,14,9,1,840,*,,
Red Urchin,6BC,1987,14,11,1,420,*,,
Red Urchin,6BC,1987,14,12,5,13910,220228,,
Red Urchin,6BC,1987,14,13,3,3490,89519,,
Red Urchin,6BC,1987,14,Total,13,22400,368570,,
Red Urchin,6BC,1987,15,1,2,1800,*,,
Red Urchin,6BC,1987,15,2,4,4310,**,,
Red Urchin,6BC,1987,15,Total,6,6110,68951,,
Red Urchin,6BC,1987,17,0,1,1270,*,,
Red Urchin,6BC,1987,17,1,1,890,*,,
Red Urchin,6BC,1987,17,2,2,3730,*,,
Red Urchin,6BC,1987,17,3,3,3955,41573,,
Red Urchin,6BC,1987,17,10,1,541,*,,
Red Urchin,6BC,1987,17,12,1,100,*,,
Red Urchin,6BC,1987,17,17,4,200,7558,,
Red Urchin,6BC,1987,17,Total,12,10686,103146,,
Red Urchin,6BC,1987,18,2,3,1300,11215,,
Red Urchin,6BC,1987,18,5,2,0,*,,
Red Urchin,6BC,1987,18,6,5,7142,70782,,
Red Urchin,6BC,1987,18,7,1,220,*,,
Red Urchin,6BC,1987,18,9,2,1600,*,,
Red Urchin,6BC,1987,18,Total,10,10262,115605,,
Red Urchin,6BC,1987,19,0,3,775,30637,,
Red Urchin,6BC,1987,19,3,1,210,*,,
Red Urchin,6BC,1987,19,4,2,1440,*,,
Red Urchin,6BC,1987,19,5,9,7734,80708,,
Red Urchin,6BC,1987,19,Total,15,10159,132216,,
Red Urchin,6BC,1987,20,5,2,2840,*,,
Red Urchin,6BC,1987,20,6,2,4220,*,,
Red Urchin,6BC,1987,20,Total,4,7060,33539,,
Red Urchin,6BC,1987,23,0,2,1800,*,,
Red Urchin,6BC,1987,23,10,1,900,*,,
Red Urchin,6BC,1987,23,11,1,3814,*,,
Red Urchin,6BC,1987,23,Total,4,6514,82262,,
Red Urchin,6BC,1987,24,0,1,3540,*,,
Red Urchin,6BC,1987,24,2,5,2340,**,,
Red Urchin,6BC,1987,24,6,7,6485,88479,,
Red Urchin,6BC,1987,24,8,8,9149,105958,,
Red Urchin,6BC,1987,24,Total,10,21514,267918,,
Red Urchin,6BC,1987,25,0,1,1560,*,,
Red Urchin,6BC,1987,25,6,6,4360,46686,,
Red Urchin,6BC,1987,25,7,3,1366,20281,,
Red Urchin,6BC,1987,25,11,1,360,*,,
Red Urchin,6BC,1987,25,13,5,9025,98509,,
Red Urchin,6BC,1987,25,15,1,745,*,,
Red Urchin,6BC,1987,25,25,1,0,*,,
Red Urchin,6BC,1987,25,Total,10,17416,191426,,
Red Urchin,6BC,1987,26,1,1,336,*,,
Red Urchin,6BC,1987,26,6,2,390,*,,
Red Urchin,6BC,1987,26,Total,3,726,7040,,
Red Urchin,6BC,1987,27,2,1,460,*,,
Red Urchin,6BC,1987,27,7,2,1235,*,,
Red Urchin,6BC,1987,27,9,3,4786,64069,,
Red Urchin,6BC,1987,27,Total,4,6481,88483,,
Red Urchin,6BC,1988,4,0,1,240,*,,
Red Urchin,6BC,1988,4,1,2,2000,*,,
Red Urchin,6BC,1988,4,2,2,4050,*,,
Red Urchin,6BC,1988,4,4,4,2000,25707,,
Red Urchin,6BC,1988,4,Total,6,8290,97414,,
Red Urchin,6BC,1988,5,0,1,2000,*,,
Red Urchin,6BC,1988,5,20,1,0,*,,
Red Urchin,6BC,1988,5,21,1,40,*,,
Red Urchin,6BC,1988,5,Total,3,2040,44998,,
Red Urchin,6BC,1988,6,25,2,1005,*,,
Red Urchin,6BC,1988,6,Total,2,1005,*,,
Red Urchin,6BC,1988,7,0,1,0,*,,
Red Urchin,6BC,1988,7,4,2,2035,*,,
Red Urchin,6BC,1988,7,5,1,205,*,,
Red Urchin,6BC,1988,7,17,1,4118,*,,
Red Urchin,6BC,1988,7,18,9,18904,264458,,
Red Urchin,6BC,1988,7,25,5,14412,160214,,
Red Urchin,6BC,1988,7,27,2,3750,*,,
Red Urchin,6BC,1988,7,28,1,130,*,,
Red Urchin,6BC,1988,7,Total,15,43554,537650,,
Red Urchin,6BC,1988,8,0,1,2670,*,,
Red Urchin,6BC,1988,8,2,2,2185,*,,
Red Urchin,6BC,1988,8,Total,3,4855,56969,,
Red Urchin,6BC,1988,10,2,1,530,*,,
Red Urchin,6BC,1988,10,Total,1,530,*,,
Red Urchin,6BC,1988,11,2,1,540,*,,
Red Urchin,6BC,1988,11,Total,1,540,*,,
Red Urchin,6BC,1988,12,3,6,8031,101572,,
Red Urchin,6BC,1988,12,4,2,3060,*,,
Red Urchin,6BC,1988,12,5,21,19540,297922,,
Red Urchin,6BC,1988,12,6,8,9372,154976,,
Red Urchin,6BC,1988,12,11,21,14976,225789,,
Red Urchin,6BC,1988,12,15,1,300,*,,
Red Urchin,6BC,1988,12,16,5,1530,83936,,
Red Urchin,6BC,1988,12,17,1,480,*,,
Red Urchin,6BC,1988,12,18,8,4020,83580,,
Red Urchin,6BC,1988,12,19,2,3290,*,,
Red Urchin,6BC,1988,12,21,1,680,*,,
Red Urchin,6BC,1988,12,Total,39,65279,1043769,,
Red Urchin,6BC,1988,13,1,4,4000,70933,,
Red Urchin,6BC,1988,13,2,21,25949,326055,,
Red Urchin,6BC,1988,13,3,1,720,*,,
Red Urchin,6BC,1988,13,10,4,7922,80403,,
Red Urchin,6BC,1988,13,11,1,120,*,,
Red Urchin,6BC,1988,13,12,4,8830,71224,,
Red Urchin,6BC,1988,13,15,1,3040,*,,
Red Urchin,6BC,1988,13,28,1,3000,*,,
Red Urchin,6BC,1988,13,30,1,1002,*,,
Red Urchin,6BC,1988,13,31,1,2281,*,,
Red Urchin,6BC,1988,13,32,5,8189,101183,,
Red Urchin,6BC,1988,13,33,7,9129,102870,,
Red Urchin,6BC,1988,13,34,2,4035,*,,
Red Urchin,6BC,1988,13,35,1,650,*,,
Red Urchin,6BC,1988,13,36,1,190,*,,
Red Urchin,6BC,1988,13,39,2,685,*,,
Red Urchin,6BC,1988,13,40,1,260,*,,
Red Urchin,6BC,1988,13,41,1,1115,*,,
Red Urchin,6BC,1988,13,Total,35,81117,870154,,
Red Urchin,6BC,1988,14,9,1,500,*,,
Red Urchin,6BC,1988,14,10,1,1390,*,,
Red Urchin,6BC,1988,14,12,6,10835,149115,,
Red Urchin,6BC,1988,14,13,1,118,*,,
Red Urchin,6BC,1988,14,Total,8,12843,170756,,
Red Urchin,6BC,1988,15,2,1,240,*,,
Red Urchin,6BC,1988,15,3,1,100,*,,
Red Urchin,6BC,1988,15,Total,1,340,*,,
Red Urchin,6BC,1988,16,21,1,540,*,,
Red Urchin,6BC,1988,16,Total,1,540,*,,
Red Urchin,6BC,1988,17,2,2,530,*,,
Red Urchin,6BC,1988,17,Total,2,530,*,,
Red Urchin,6BC,1988,18,4,1,326,*,,
Red Urchin,6BC,1988,18,6,9,4255,71136,,
Red Urchin,6BC,1988,18,10,1,910,*,,
Red Urchin,6BC,1988,18,11,1,830,*,,
Red Urchin,6BC,1988,18,Total,11,6321,83013,,
Red Urchin,6BC,1988,19,1,1,240,*,,
Red Urchin,6BC,1988,19,3,1,410,*,,
Red Urchin,6BC,1988,19,4,3,1610,29485,,
Red Urchin,6BC,1988,19,5,12,6834,92361,,
Red Urchin,6BC,1988,19,6,4,3497,14535,,
Red Urchin,6BC,1988,19,Total,21,12591,141822,,
Red Urchin,6BC,1988,20,0,1,60,*,,
Red Urchin,6BC,1988,20,5,4,3740,**,,
Red Urchin,6BC,1988,20,Total,4,3800,36115,,
Red Urchin,6BC,1988,23,11,2,545,*,,
Red Urchin,6BC,1988,23,Total,2,545,*,,
Red Urchin,6BC,1988,24,0,1,680,*,,
Red Urchin,6BC,1988,24,2,4,2065,45755,,
Red Urchin,6BC,1988,24,6,15,17896,244312,,
Red Urchin,6BC,1988,24,8,8,8765,110688,,
Red Urchin,6BC,1988,24,9,1,251,*,,
Red Urchin,6BC,1988,24,Total,18,29657,414130,,
Red Urchin,6BC,1988,25,5,1,5580,*,,
Red Urchin,6BC,1988,25,6,1,650,*,,
Red Urchin,6BC,1988,25,7,3,6957,59442,,
Red Urchin,6BC,1988,25,Total,4,13187,102973,,
Red Urchin,6BC,1988,26,0,1,1040,*,,
Red Urchin,6BC,1988,26,Total,1,1040,*,,
Red Urchin,6BC,1988,27,9,7,5400,**,,
Red Urchin,6BC,1988,27,11,1,150,*,,
Red Urchin,6BC,1988,27,Total,8,5550,73396,,
Red Urchin,6BC,1988,29,5,3,1170,11250,,
Red Urchin,6BC,1988,29,Total,3,1170,11250,,
Red Urchin,6BC,1988,123,3,1,100,*,,
Red Urchin,6BC,1988,123,Total,1,100,*,,
Red Urchin,6BC,1988,124,0,1,1085,*,,
Red Urchin,6BC,1988,124,2,1,375,*,,
Red Urchin,6BC,1988,124,Total,1,1460,*,,
Red Urchin,6BC,1988,125,1,8,6515,126386,,
Red Urchin,6BC,1988,125,Total,8,6515,126386,,
Red Urchin,6BC,1989,1,2,2,520,*,,
Red Urchin,6BC,1989,1,Total,2,520,*,,
Red Urchin,6BC,1989,2,3,5,14954,175104,,
Red Urchin,6BC,1989,2,7,2,2711,*,,
Red Urchin,6BC,1989,2,8,1,300,*,,
Red Urchin,6BC,1989,2,11,2,810,*,,
Red Urchin,6BC,1989,2,65,1,930,*,,
Red Urchin,6BC,1989,2,67,3,6160,101216,,
Red Urchin,6BC,1989,2,73,1,1455,*,,
Red Urchin,6BC,1989,2,Total,5,27320,343027,,
Red Urchin,6BC,1989,3,1,1,200,*,,
Red Urchin,6BC,1989,3,Total,1,200,*,,
Red Urchin,6BC,1989,4,1,3,1070,18465,,
Red Urchin,6BC,1989,4,2,4,1125,13401,,
Red Urchin,6BC,1989,4,4,1,103,*,,
Red Urchin,6BC,1989,4,9,1,447,*,,
Red Urchin,6BC,1989,4,13,1,550,*,,
Red Urchin,6BC,1989,4,Total,7,3295,49430,,
Red Urchin,6BC,1989,5,17,1,680,*,,
Red Urchin,6BC,1989,5,Total,1,680,*,,
Red Urchin,6BC,1989,6,9,2,4440,*,,
Red Urchin,6BC,1989,6,18,1,1240,*,,
Red Urchin,6BC,1989,6,19,3,2080,24584,,
Red Urchin,6BC,1989,6,20,2,1415,*,,
Red Urchin,6BC,1989,6,Total,7,9175,117240,,
Red Urchin,6BC,1989,7,0,3,8017,84580,,
Red Urchin,6BC,1989,7,1,1,675,*,,
Red Urchin,6BC,1989,7,5,3,4840,48241,,
Red Urchin,6BC,1989,7,9,2,1670,*,,
Red Urchin,6BC,1989,7,18,15,28929,449708,,
Red Urchin,6BC,1989,7,20,2,620,*,,
Red Urchin,6BC,1989,7,25,6,8650,127763,,
Red Urchin,6BC,1989,7,27,3,575,6364,,
Red Urchin,6BC,1989,7,Total,23,53976,752385,,
Red Urchin,6BC,1989,8,0,1,0,*,,
Red Urchin,6BC,1989,8,1,2,1800,*,,
Red Urchin,6BC,1989,8,2,5,5360,74948,,
Red Urchin,6BC,1989,8,Total,8,7160,120163,,
Red Urchin,6BC,1989,10,0,2,3200,*,,
Red Urchin,6BC,1989,10,1,1,3265,*,,
Red Urchin,6BC,1989,10,2,4,6708,101208,,
Red Urchin,6BC,1989,10,3,3,2075,25382,,
Red Urchin,6BC,1989,10,Total,8,15248,232254,,
Red Urchin,6BC,1989,12,0,3,120,6924,,
Red Urchin,6BC,1989,12,2,1,1500,*,,
Red Urchin,6BC,1989,12,3,8,3525,40555,,
Red Urchin,6BC,1989,12,5,14,17097,198406,,
Red Urchin,6BC,1989,12,6,3,3175,37746,,
Red Urchin,6BC,1989,12,7,1,710,*,,
Red Urchin,6BC,1989,12,8,7,5495,76424,,
Red Urchin,6BC,1989,12,10,1,160,*,,
Red Urchin,6BC,1989,12,11,6,4300,109691,,
Red Urchin,6BC,1989,12,12,5,2770,48478,,
Red Urchin,6BC,1989,12,13,1,305,*,,
Red Urchin,6BC,1989,12,16,10,3832,43273,,
Red Urchin,6BC,1989,12,17,2,2633,*,,
Red Urchin,6BC,1989,12,18,18,16175,187354,,
Red Urchin,6BC,1989,12,19,1,1225,*,,
Red Urchin,6BC,1989,12,20,1,90,*,,
Red Urchin,6BC,1989,12,39,2,710,*,,
Red Urchin,6BC,1989,12,41,6,2210,39551,,
Red Urchin,6BC,1989,12,42,1,180,*,,
Red Urchin,6BC,1989,12,Total,50,66212,873562,,
Red Urchin,6BC,1989,13,0,3,1256,13058,,
Red Urchin,6BC,1989,13,1,12,14102,142728,,
Red Urchin,6BC,1989,13,2,19,20562,269799,,
Red Urchin,6BC,1989,13,3,1,1080,*,,
Red Urchin,6BC,1989,13,6,1,270,*,,
Red Urchin,6BC,1989,13,7,2,1750,*,,
Red Urchin,6BC,1989,13,8,1,1000,*,,
Red Urchin,6BC,1989,13,9,1,1000,*,,
Red Urchin,6BC,1989,13,10,4,3030,45207,,
Red Urchin,6BC,1989,13,12,8,3780,67980,,
Red Urchin,6BC,1989,13,16,1,30,*,,
Red Urchin,6BC,1989,13,27,1,1000,*,,
Red Urchin,6BC,1989,13,28,5,4815,114619,,
Red Urchin,6BC,1989,13,31,1,930,*,,
Red Urchin,6BC,1989,13,32,4,3158,96085,,
Red Urchin,6BC,1989,13,33,1,540,*,,
Red Urchin,6BC,1989,13,Total,40,58303,845285,,
Red Urchin,6BC,1989,14,0,1,0,*,,
Red Urchin,6BC,1989,14,7,2,2450,*,,
Red Urchin,6BC,1989,14,8,3,2175,32716,,
Red Urchin,6BC,1989,14,9,3,4515,59534,,
Red Urchin,6BC,1989,14,10,1,540,*,,
Red Urchin,6BC,1989,14,11,2,1725,*,,
Red Urchin,6BC,1989,14,12,4,7754,94962,,
Red Urchin,6BC,1989,14,13,3,1675,19695,,
Red Urchin,6BC,1989,14,Total,11,20834,277698,,
Red Urchin,6BC,1989,15,2,3,2130,**,,
Red Urchin,6BC,1989,15,4,2,555,*,,
Red Urchin,6BC,1989,15,Total,4,2685,19947,,
Red Urchin,6BC,1989,18,0,3,150,18721,,
Red Urchin,6BC,1989,18,2,1,1345,*,,
Red Urchin,6BC,1989,18,4,2,1295,*,,
Red Urchin,6BC,1989,18,5,1,1260,*,,
Red Urchin,6BC,1989,18,6,4,2275,24006,,
Red Urchin,6BC,1989,18,9,1,175,*,,
Red Urchin,6BC,1989,18,10,1,997,*,,
Red Urchin,6BC,1989,18,Total,12,7497,101923,,
Red Urchin,6BC,1989,19,0,2,1360,*,,
Red Urchin,6BC,1989,19,5,4,3880,30555,,
Red Urchin,6BC,1989,19,6,2,3170,*,,
Red Urchin,6BC,1989,19,Total,8,8410,75315,,
Red Urchin,6BC,1989,20,0,1,0,*,,
Red Urchin,6BC,1989,20,5,2,1120,*,,
Red Urchin,6BC,1989,20,Total,3,1120,11417,,
Red Urchin,6BC,1989,24,1,1,480,*,,
Red Urchin,6BC,1989,24,3,1,800,*,,
Red Urchin,6BC,1989,24,6,11,18029,236582,,
Red Urchin,6BC,1989,24,8,6,5512,73767,,
Red Urchin,6BC,1989,24,Total,11,24821,317376,,
Red Urchin,6BC,1989,25,0,1,215,*,,
Red Urchin,6BC,1989,25,6,1,345,*,,
Red Urchin,6BC,1989,25,7,4,1195,18641,,
Red Urchin,6BC,1989,25,13,3,3000,75760,,
Red Urchin,6BC,1989,25,Total,6,4755,101357,,
Red Urchin,6BC,1989,27,0,1,600,*,,
Red Urchin,6BC,1989,27,2,2,6670,*,,
Red Urchin,6BC,1989,27,7,3,1650,13841,,
Red Urchin,6BC,1989,27,8,1,220,*,,
Red Urchin,6BC,1989,27,9,2,2215,*,,
Red Urchin,6BC,1989,27,Total,7,11355,163966,,
Red Urchin,6BC,1989,125,1,1,1000,*,,
Red Urchin,6BC,1989,125,Total,1,1000,*,,
Red Urchin,6BC,1990,2,3,1,565,*,,
Red Urchin,6BC,1990,2,67,1,3960,*,,
Red Urchin,6BC,1990,2,Total,1,4525,*,,
Red Urchin,6BC,1990,4,1,5,10935,102204,,
Red Urchin,6BC,1990,4,2,6,13335,135151,,
Red Urchin,6BC,1990,4,4,4,4600,57928,,
Red Urchin,6BC,1990,4,9,3,2210,**,,
Red Urchin,6BC,1990,4,13,1,300,*,,
Red Urchin,6BC,1990,4,Total,8,31380,315981,,
Red Urchin,6BC,1990,5,2,1,535,*,,
Red Urchin,6BC,1990,5,20,1,200,*,,
Red Urchin,6BC,1990,5,Total,2,735,*,,
Red Urchin,6BC,1990,6,18,2,565,*,,
Red Urchin,6BC,1990,6,19,2,2505,*,,
Red Urchin,6BC,1990,6,20,1,3650,*,,
Red Urchin,6BC,1990,6,Total,2,6720,*,,
Red Urchin,6BC,1990,7,0,2,8870,*,,
Red Urchin,6BC,1990,7,1,5,24627,261941,,
Red Urchin,6BC,1990,7,2,1,255,*,,
Red Urchin,6BC,1990,7,3,1,375,*,,
Red Urchin,6BC,1990,7,5,2,7635,*,,
Red Urchin,6BC,1990,7,6,2,4130,*,,
Red Urchin,6BC,1990,7,8,1,711,*,,
Red Urchin,6BC,1990,7,9,6,5610,48020,,
Red Urchin,6BC,1990,7,10,1,200,*,,
Red Urchin,6BC,1990,7,12,2,1270,*,,
Red Urchin,6BC,1990,7,18,22,112361,1197739,,
Red Urchin,6BC,1990,7,25,10,19505,231686,,
Red Urchin,6BC,1990,7,31,4,4460,53351,,
Red Urchin,6BC,1990,7,32,2,2272,*,,
Red Urchin,6BC,1990,7,Total,31,192281,2146503,,
Red Urchin,6BC,1990,11,2,7,4000,39684,,
Red Urchin,6BC,1990,11,Total,7,4000,39684,,
Red Urchin,6BC,1990,12,1,3,3510,28937,,
Red Urchin,6BC,1990,12,3,3,5880,64315,,
Red Urchin,6BC,1990,12,5,6,6089,61508,,
Red Urchin,6BC,1990,12,6,8,7510,78939,,
Red Urchin,6BC,1990,12,7,1,200,*,,
Red Urchin,6BC,1990,12,8,4,7332,122371,,
Red Urchin,6BC,1990,12,11,5,5380,85345,,
Red Urchin,6BC,1990,12,12,1,1400,*,,
Red Urchin,6BC,1990,12,13,8,9870,163332,,
Red Urchin,6BC,1990,12,16,4,1670,15005,,
Red Urchin,6BC,1990,12,17,1,1470,*,,
Red Urchin,6BC,1990,12,18,2,4800,*,,
Red Urchin,6BC,1990,12,19,2,1660,*,,
Red Urchin,6BC,1990,12,20,2,2470,*,,
Red Urchin,6BC,1990,12,21,1,380,*,,
Red Urchin,6BC,1990,12,32,1,1680,*,,
Red Urchin,6BC,1990,12,39,5,4260,46370,,
Red Urchin,6BC,1990,12,41,3,2540,34230,,
Red Urchin,6BC,1990,12,Total,28,68101,884460,,
Red Urchin,6BC,1990,13,0,3,1005,19951,,
